rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk, adjt,TeamID
11,Kentucky,SEC,26-8,119.37140757887988,6,95.40322652836336,44,0.9293970436259068,11,26,8,14,4,14-4,0.6729027003874778,0.4801742146961529,0.7897796480093173,0.6729027003874778,0.4801742146961529,0.7897796480093173,0.6794677016655737,0.7796177159094412,106.13317258395466,97.18694997425912,106.13317258395466,97.18694997425912,120.44333744076528,95.49409558711196,126.86787737808058,98.17647035387294,0.9501861932764384,16,0.0290954968143474,1395.0,1246.0,1248.8874999999998,1.1169941247710464,0.9976879422686192,0,0.7777777777777778,6.864572259435577,9,102,67.77223840301306,1246
12,Purdue,B10,29-8,121.5851629388118,2,97.52193076239158,86,0.9266397834095504,12,29,8,14,6,14-6,0.7054709819355541,0.4838995085381997,0.8085181404647462,0.7054709819355541,0.4838995085381997,0.8085181404647462,0.6997015708939337,0.8387747704721026,107.89136588996402,98.49963164469428,107.89136588996402,98.49963164469428,120.97803607358917,97.77740998068369,133.3982630955918,106.5084364964313,0.9301386777533364,16,0.0294501282704124,1514.0,1414.0,1340.8249999999998,1.1291555572129102,1.0545746089161523,0,0.7,6.999884707804265,8,101,66.01000864842864,1345
13,Iowa,B10,26-10,121.11289514350904,3,97.20578456406568,81,0.9261341460386546,13,26,10,12,8,12-8,0.6694490081591615,0.4030897892022153,0.783637186431782,0.6694490081591615,0.4030897892022153,0.783637186431782,0.721113070758568,0.8648689012556834,106.954199035856,99.16984630898496,106.954199035856,99.16984630898496,118.03913009079322,96.62356482613109,130.173684977213,111.35246276713576,0.8576545433229178,13,-0.0498140804172276,1591.0,1454.0,1408.825,1.1293098858978226,1.0320657285326424,0,0.6,4.5214573647934015,16,283,69.78585863381954,1234
14,Auburn,SEC,28-6,111.6713222153128,30,90.01156117430952,10,0.9227029003166312,14,28,6,15,3,15-3,0.7033066742335264,0.6224262391358457,0.7528170433530232,0.7033066742335264,0.6224262391358457,0.7528170433530232,0.7258848798289694,0.7944526807613375,106.79396347883548,97.70840062975928,106.79396347883548,97.70840062975928,112.7719262208474,89.58951243944475,120.63821400630329,96.41895879105796,0.9293713401527346,16,0.052610977603393,1398.0,1231.0,1307.0625,1.0695739492181895,0.9418065318223114,0,0.8333333333333334,7.410337482893098,5,68,69.98998501069804,1120
15,Texas,B12,22-12,112.50497190763028,24,91.4908593615584,15,0.915112563589384,15,22,12,10,8,10-8,0.6948654159065886,0.4013562013970558,0.8727039934397418,0.6948654159065886,0.4013562013970558,0.8727039934397418,0.6376817805549517,0.8319160983391419,107.08764896466997,97.19071290402074,107.08764896466997,97.19071290402074,113.38039451336596,92.13697867413396,119.9263878680661,99.087283135089,0.8998073292185936,20,-0.0195891489397957,1210.0,1176.0,1187.175,1.0192263145703035,0.9905868974666752,0,0.5555555555555556,3.35082552958352,25,216,63.53256836494822,1400
16,North Carolina,ACC,29-10,114.42906706560528,17,93.45151352923509,33,0.9112418103599652,16,29,10,15,5,15-5,0.72060843555658,0.5955468127801966,0.7304350702571465,0.72060843555658,0.5955468127801966,0.7304350702571465,0.6690905036948853,0.7533981393282893,109.26944010814448,98.00667393580848,109.26944010814448,98.00667393580848,115.0157300862601,96.71017629501792,120.51974504267166,104.25079030353584,0.841263964070113,17,0.0526621748407083,1572.0,1457.0,1413.1,1.1124478097799164,1.0310664496497062,0,0.75,4.253820926572029,19,67,70.07129818286987,1314
17,Memphis,Amer,22-11,112.44704132711657,25,92.62570867784156,23,0.9029139689421064,17,22,11,13,5,13-5,0.6935881143989373,0.6271020682445588,0.685764198358314,0.6935881143989373,0.6271020682445588,0.685764198358314,0.7206666616108321,0.7874736493101115,106.675722544063,97.58602770252502,106.675722544063,97.58602770252502,112.45841426511493,93.99355061842692,124.07025395777148,99.46434644965292,0.9270383003568148,10,-0.059135492869749,1353.0,1225.0,1267.4499999999996,1.0674977316659435,0.9665075545386408,0,0.7222222222222222,1.3539607769269837,45,296,70.03357838239596,1272
18,Virginia Tech,ACC,23-13,115.5610951659789,14,95.20771874383308,43,0.9027350894479332,18,23,13,11,9,11-9,0.6826082903343749,0.5093132514763644,0.7285780918826757,0.6826082903343749,0.5093132514763644,0.7285780918826757,0.7084170347353561,0.8011333553802771,107.28784684626964,98.7615821439482,107.28784684626964,98.7615821439482,114.90925220781644,99.09993004077256,114.42505850405436,96.76817693216609,0.8729637935501329,13,-0.0745862604907235,1361.0,1301.0,1235.8750000000002,1.1012440578537472,1.052695458683119,0,0.55,1.731207478097646,40,316,63.29073398595688,1439
19,Saint Mary's,WCC,26-8,109.78968551947182,47,90.4831873047815,11,0.9023954803997029,19,26,8,12,3,12-3,0.6332605856380291,0.5685642506408338,0.632360404597393,0.6332605856380291,0.5685642506408338,0.632360404597393,0.7340081332334849,0.8038780655667443,106.82598842898994,98.92851222075178,106.82598842898994,98.92851222075178,109.3388589644882,89.2458098199102,112.03927143606596,94.96245092260328,0.8700872822302362,12,0.026900846991846,1056.0,910.0,981.5875,1.0758083207049804,0.9270696703044812,0,0.8,3.932543203524336,22,110,63.66309741374211,1388
20,Illinois,B10,23-10,111.9283487179899,27,92.96935251784949,25,0.8941900532100993,20,23,10,15,5,15-5,0.7303875279989395,0.5396335435040197,0.8062990195801802,0.7303875279989395,0.5396335435040197,0.8062990195801802,0.6813151453956243,0.8144038497541137,108.78641416036008,97.97594694470604,108.78641416036008,97.97594694470604,114.2688171948888,92.37703857449446,126.11654740692376,102.77406512033686,0.9132313892900502,13,0.0269917002719833,1485.0,1379.0,1366.7,1.086558864417941,1.0089997804931587,0,0.75,4.143048547540496,20,109,67.0857938426123,1228
21,Arkansas,SEC,28-9,108.69900554380273,60,90.68724506596276,12,0.8892800486032264,21,28,9,13,5,13-5,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.7037475327954644,0.8750359267943342,107.29531924064148,97.831966347967,107.29531924064148,97.831966347967,109.8183875601254,89.0688705873065,112.13621116822053,95.71845163155464,0.8606245518393613,16,0.0719059998673613,1341.0,1208.0,1297.1875,1.0337749939773548,0.9312454830161409,0,0.7222222222222222,4.459650572965871,17,39,70.62642520486659,1116
22,LSU,SEC,22-12,106.30734826099842,96,89.65135038194248,8,0.8764973101362293,22,22,12,9,9,9-9,0.6890850493944128,0.5129955915871626,0.8055288825025443,0.6890850493944128,0.5129955915871626,0.8055288825025443,0.6977567603852041,0.8493630775117261,106.63971305118218,97.68066840117991,106.63971305118218,97.68066840117991,106.2835973638637,90.63220159807273,116.21320865743527,98.78050160845515,0.8663485687661868,17,-0.0120454485581048,1247.0,1224.0,1262.3125,0.9878694855671636,0.9696489577660048,0,0.5,2.2753237405142297,32,202,68.67452302731698,1261
23,San Francisco,WCC,24-10,110.17338022961243,44,93.03615566959532,27,0.8748207049439864,23,24,10,10,6,10-6,0.6075819487398209,0.5522609104735863,0.6136809499152958,0.6075819487398209,0.5522609104735863,0.6136809499152958,0.762959723480112,0.833876697823051,105.52822540226,99.06853493321756,105.52822540226,99.06853493321756,111.72496890792674,93.3313275709032,128.17709746742375,112.48924413278856,0.8177810472105409,8,-0.0220470789131568,1258.0,1106.0,1149.925,1.093984390286323,0.9618018566428246,0,0.625,1.6318126644293307,42,221,68.95350901508584,1362
24,Michigan,B10,19-15,113.88655150417998,19,96.23673642314333,62,0.8739675407397407,24,19,15,11,9,11-9,0.7681165692910108,0.6440560326562018,0.8056665533897303,0.7681165692910108,0.6440560326562018,0.8056665533897303,0.6429340200280257,0.7470156799997272,109.83090704732156,96.8885859113228,109.83090704732156,96.8885859113228,115.96017374819864,98.99311284292072,119.01496908459752,101.64798284399902,0.8598369235449259,18,-0.0350173924933239,1483.0,1440.0,1341.1374999999998,1.1057777446384134,1.0737154094938066,0,0.55,0.1528518868544082,56,253,66.42638869378222,1276
25,Connecticut,BE,23-10,113.19096296828624,22,95.89164386108824,52,0.8707223894784211,25,23,10,13,6,13-6,0.6599018177886156,0.4553602927004866,0.7513888258099571,0.6599018177886156,0.4553602927004866,0.7513888258099571,0.7286282010349353,0.8162147253640213,104.97037728045191,97.9808655941898,104.97037728045191,97.9808655941898,113.66077314703736,96.2831859109462,117.3106475460762,100.78747003531554,0.851426327434096,11,0.0166361894780089,1384.0,1287.0,1276.4625,1.084246501561934,1.0082552366403243,0,0.6842105263157895,3.069619992795917,26,136,65.03190616697913,1163
26,TCU,B12,21-13,108.60101930288978,63,92.07233949746104,18,0.8697467678892691,26,21,13,8,10,8-10,0.7251985982862551,0.4373969092341885,0.8778391402660942,0.7251985982862551,0.4373969092341885,0.8778391402660942,0.6328618771084019,0.8777269427092104,107.57329536906792,96.00524968624816,107.57329536906792,96.00524968624816,108.7990060397031,92.28115195959224,116.99464427439888,97.50724529395217,0.8904471754762944,19,0.036220208434387,1160.0,1198.0,1198.7375,0.9676847516658152,0.9993847693927989,0,0.4444444444444444,2.917733911815506,27,93,65.89252386840234,1395
27,San Diego St.,MWC,23-9,102.3494883972377,173,86.92160360811394,2,0.8674901476250654,27,23,9,13,4,13-4,0.650889438659574,0.5758003724217341,0.660271989807713,0.650889438659574,0.5758003724217341,0.660271989807713,0.7576695340907195,0.7946113805998835,105.29600891829791,98.71649937606774,105.29600891829791,98.71649937606774,103.47730085618464,86.3202079817505,107.11034406935757,91.65766625428614,0.8571340797974866,8,0.012762912934312,1144.0,988.0,1126.4375000000002,1.0155911890362312,0.8771014814403816,0,0.7647058823529411,2.6117130820653407,30,147,65.30068784731317,1361
28,Indiana,B10,21-14,107.67728000139952,74,91.61389136009475,16,0.8650508755312927,28,21,14,9,11,9-11,0.6951645180636536,0.4280408362764142,0.7843804062020185,0.6951645180636536,0.4280408362764142,0.7843804062020185,0.7017561110200261,0.8692577113311593,108.0971228765798,98.71973009454976,108.0971228765798,98.71973009454976,107.38167754671647,91.77182612148314,114.24790301916237,100.50927920085056,0.8135716702406673,15,-0.042770363640166,1344.0,1343.0,1333.725,1.0077039869538322,1.0069542072016344,0,0.45,0.2125100011790802,54,268,67.24332835812906,1231
29,Oklahoma,B12,19-16,110.5831361933163,40,94.0948870576853,36,0.8649275864263087,29,19,16,7,11,7-11,0.7307389719173297,0.500986167257826,0.8783818635417276,0.7307389719173297,0.500986167257826,0.8783818635417276,0.6319412460758027,0.8171176445812001,107.1534713634227,95.50825488138187,107.1534713634227,95.50825488138187,111.12381570723296,95.16874389981288,120.06234561009944,102.59886516965754,0.8590738929291533,18,-0.0312540676397788,1168.0,1213.0,1184.35,0.9861949592603536,1.024190484231857,0,0.3888888888888889,1.083517183782471,48,244,65.16224335298033,1328
30,Alabama,SEC,19-14,115.16486403052022,16,98.26646329851047,100,0.8611460968656462,30,19,14,9,9,9-9,0.7714351948545585,0.7343431059798823,0.7921319546564208,0.7714351948545585,0.7343431059798823,0.7921319546564208,0.6504660705295879,0.6779349501109742,109.17946733321612,96.1534920578459,109.17946733321612,96.1534920578459,115.11641130959278,100.72186436718694,129.92357769082952,108.18273071587709,0.8914785618867705,19,-0.0032455976948068,1401.0,1405.0,1320.8375,1.060690660281829,1.0637190418957667,0,0.5,1.952786942751377,34,183,71.82724794839919,1104
31,Ohio St.,B10,20-12,115.45392800552442,15,98.51658457246847,109,0.8610976223989837,31,20,12,12,8,12-8,0.7277336885960084,0.5758801612411263,0.7810905676622805,0.7277336885960084,0.5758801612411263,0.7810905676622805,0.6911903732440933,0.7874027514874684,107.96972261723084,97.84629864819291,107.96972261723084,97.84629864819291,117.0681022933224,98.99158145536084,113.72390895162115,97.94951324694549,0.8477674493768563,12,0.0023981991885244,1455.0,1390.0,1313.1875,1.107991052305935,1.0584931702441578,0,0.6,1.317074960120871,46,172,65.14713025057542,1326
32,Texas A&M,SEC,27-13,109.19557265857787,54,93.2779629989395,30,0.859591505783446,32,27,13,9,9,9-9,0.6450122636204292,0.4073632214660565,0.74978117572644,0.6450122636204292,0.4073632214660565,0.74978117572644,0.7250086811006545,0.8702018275959009,105.90426761825806,98.3236777076491,105.90426761825806,98.3236777076491,109.57164373922002,96.7604236279932,119.83116381153876,102.35705928117338,0.8596745807425362,17,0.010657777789794,1275.0,1275.0,1247.9249999999995,1.02169601538554,1.02169601538554,0,0.5,1.23094582814293,47,153,66.49881343821352,1401
33,Oklahoma St.,B12,15-15,102.87380316616309,164,88.01069755071975,4,0.8574797576510752,33,15,15,8,10,8-10,0.7445411717473652,0.5425234922954605,0.8792196247153016,0.7445411717473652,0.5425234922954605,0.8792196247153016,0.6331620301284926,0.8230021538557447,108.35121043595242,95.7869126632332,108.35121043595242,95.7869126632332,103.29163891720174,87.0325169484468,112.48622519283396,95.4140927842593,0.8690916958617558,17,-0.0638757856155131,1155.0,1158.0,1231.3000000000002,0.9380329732802728,0.9404694225615202,0,0.4444444444444444,-0.7888847195786051,72,305,67.95574733291379,1329
34,Providence,BE,27-6,111.42800861733372,33,95.48435826842024,46,0.855175883693988,34,27,6,14,3,14-3,0.6824136287840492,0.5445580074565055,0.7449355048125299,0.6824136287840492,0.5445580074565055,0.7449355048125299,0.7299754119668953,0.8100197605491278,106.36682555473888,98.28684062259944,106.36682555473888,98.28684062259944,112.67557309090664,96.3480520320018,118.59512832842888,100.34246762657564,0.8723561243332778,9,0.1589078461687795,1251.0,1179.0,1160.65,1.0778443113772456,1.0158101064058933,0,0.8235294117647058,5.865277448930437,14,2,65.33237407374152,1344
35,Wake Forest,ACC,25-10,110.736498996229,38,94.95308084673414,41,0.8542538569222357,35,25,10,13,7,13-7,0.6236535712679369,0.3537627053003136,0.7476663090239903,0.6236535712679369,0.3537627053003136,0.7476663090239903,0.7600773144352979,0.9180524495496628,106.48713659173023,100.70199157838309,106.48713659173023,100.70199157838309,114.92484189077378,95.26820401974268,125.04406252834772,110.82625867959248,0.8002852344925901,10,0.0186873490458013,1572.0,1421.0,1406.65,1.1175487861230582,1.0102015426723066,0,0.65,1.4484195184401127,44,131,70.39271837169152,1448
36,Notre Dame,ACC,24-11,112.78061887120734,23,96.7095238612758,72,0.8541994501006636,36,24,11,15,5,15-5,0.6649056294743492,0.5145689767392956,0.7067030082650451,0.6649056294743492,0.5145689767392956,0.7067030082650451,0.7170384595640791,0.765565225085338,107.14205889732789,98.39580079322056,107.14205889732789,98.39580079322056,113.59547751854848,96.03861093645644,123.76446666361689,104.00635750870984,0.8808154613930901,14,0.0411877212131078,1453.0,1339.0,1329.0249999999996,1.09328266962623,1.0075055021538348,0,0.75,1.850836424905576,37,85,65.4003528708008,1323
37,Wisconsin,B10,25-8,108.67665330511848,61,93.3988061589766,31,0.850970337635054,37,25,8,15,5,15-5,0.728113796834037,0.5848409398611663,0.7951023439265404,0.728113796834037,0.5848409398611663,0.7951023439265404,0.6862020757073698,0.7596901653737838,108.3185038015048,97.7682104243467,108.3185038015048,97.7682104243467,109.89969929462934,93.29186143066777,130.64897741623577,105.29744095547308,0.9227875313222484,15,0.1560466898011316,1404.0,1368.0,1349.0999999999997,1.0406937958639095,1.0140093395597067,0,0.75,6.446717812581694,12,3,66.41281304467691,1458
38,Miami FL,ACC,26-11,113.5600981729646,21,97.87757942816576,93,0.8467154785929395,38,26,11,14,6,14-6,0.7027050914304833,0.5271688628010959,0.7548865942605718,0.7027050914304833,0.5271688628010959,0.7548865942605718,0.7040706332027146,0.8246916902273406,107.42990516224806,97.91048324651436,107.42990516224806,97.91048324651436,116.86461531781067,99.613639354531,124.74669657676444,103.5689041471881,0.8946885392959258,13,0.0856821729588099,1516.0,1418.0,1347.2,1.1252969121140142,1.0525534441805224,0,0.7,2.574906863502203,31,28,67.71123315159976,1274
39,Loyola Chicago,MVC,25-8,106.91136211592156,86,92.3159014790759,22,0.8439626009145633,39,25,8,13,5,13-5,0.5626913537969751,0.5250884876770393,0.5444294479578724,0.5626913537969751,0.5250884876770393,0.5444294479578724,0.8087662963874366,0.7776316776425126,104.20825851715648,100.9023117886,104.20825851715648,100.9023117886,107.37438783040604,97.23926080790068,112.60226569023204,96.8754240198758,0.8494141704631613,5,0.0225368928609618,1307.0,1154.0,1193.5,1.0950984499371597,0.9669040636782572,0,0.7222222222222222,1.7572068546703423,39,118,64.59300733857756,1260
40,Boise St.,MWC,27-8,107.58506119862878,78,92.93122698816622,24,0.843414174645946,40,27,8,15,3,15-3,0.6238319007954078,0.5016217892632049,0.6758224507412081,0.6238319007954078,0.5016217892632049,0.6758224507412081,0.7822808748882834,0.8668685153616053,104.36209316903648,98.5055964092028,104.36209316903648,98.5055964092028,111.43630718867344,94.53347375583547,102.46975637440872,87.55477417330827,0.8592392462338575,8,0.0716084542935461,1242.0,1124.0,1159.0875,1.0715325633310688,0.969728342338262,0,0.8333333333333334,3.4947893824216614,24,41,64.51964824746908,1129
41,Michigan St.,B10,23-13,111.62384988840212,31,96.61006084354564,70,0.8403985241241043,41,23,13,11,9,11-9,0.7400160900461598,0.5988988170128702,0.7883688171167952,0.7400160900461598,0.5988988170128702,0.7883688171167952,0.667138295499093,0.7433725504361636,109.28776180139268,97.76590989882264,109.28776180139268,97.76590989882264,110.88197063168607,97.49018592428088,125.3202906422085,108.34309455600366,0.8421153914803641,17,0.0716460512567717,1406.0,1399.0,1339.3375,1.049772742120638,1.044546277543935,0,0.55,2.8753924534544133,28,40,67.59363375255073,1277
42,Washington St.,P12,22-15,107.61875940714869,77,93.14568140898868,29,0.8403651908956126,42,22,15,11,9,11-9,0.6360444513521837,0.4656846454588869,0.6841144562067841,0.6360444513521837,0.4656846454588869,0.6841144562067841,0.7759864667029326,0.8936826709686443,105.59421595110284,99.59570743191296,105.59421595110284,99.59570743191296,106.76873122292292,93.24276595977275,105.21055565599386,97.09795854586548,0.7156118252044126,8,-0.0969931951177236,1370.0,1292.0,1329.9125,1.0301429605331178,0.9714924854078748,0,0.55,-4.037826965742523,119,342,66.24425346535845,1450
43,Iowa St.,B12,22-13,101.74760861982902,184,88.39379919324392,5,0.8345157014924452,43,22,13,7,11,7-11,0.7077709988312535,0.413431564632971,0.8817953825216527,0.7077709988312535,0.413431564632971,0.8817953825216527,0.6338525720319943,0.8488641114155808,107.58424011743804,97.02991898818486,107.58424011743804,97.02991898818486,106.0596486351367,92.45608743390348,115.48458187451506,97.0785145600945,0.8804391046264366,23,0.0931106757088113,1142.0,1221.0,1204.3625,0.9482194937155548,1.0138143623701337,0,0.3888888888888889,2.82003681193036,29,21,66.30881606746003,1235
44,Dayton,A10,24-11,108.77728977309869,58,94.52468363887948,39,0.8341152239855409,44,24,11,14,4,14-4,0.5575010574490694,0.4947780115972542,0.5737100547575629,0.5575010574490694,0.4947780115972542,0.5737100547575629,0.8060545955306031,0.8010300544417195,103.32687089661847,100.63124753337286,103.32687089661847,100.63124753337286,110.73670680274128,92.10721908554991,121.66495041234964,97.97304300062557,0.9234840120872876,7,-0.0378952112298081,1227.0,1041.0,1132.6,1.0833480487374183,0.9191241391488608,0,0.7777777777777778,-1.1857464763638994,77,258,63.04913957780448,1173
45,Syracuse,ACC,16-17,116.14111875314389,11,101.36328230808648,153,0.8270830021366635,45,16,17,9,11,9-11,0.697973839989168,0.6044163536326338,0.7378617896290565,0.697973839989168,0.6044163536326338,0.7378617896290565,0.7035080151302732,0.777994477559644,107.76373550496255,98.12381597717192,107.76373550496255,98.12381597717192,114.56792796477548,101.57818070239745,123.20388824781747,111.79560311747332,0.7535128781591124,11,-0.1116240734986983,1493.0,1483.0,1368.7875,1.0907463722455093,1.0834406363295983,0,0.45,-3.764431096093317,112,348,67.74467474892135,1393
46,Davidson,A10,27-7,115.7877428460933,13,101.11299826591365,148,0.8261351772084413,46,27,7,15,3,15-3,0.5370054411993601,0.4431140538607214,0.5629940668733596,0.5370054411993601,0.4431140538607214,0.5629940668733596,0.8304517728124642,0.8633754292402266,102.19599861452402,99.98644284422149,102.19599861452402,99.98644284422149,116.68327296143288,104.29829952789208,129.9030044508265,112.25631741824331,0.8427770176974673,5,0.0517900412365378,1338.0,1204.0,1181.525,1.1324347770889318,1.019022026618142,0,0.8333333333333334,2.133645409600307,33,69,64.62808270705142,1172
47,Murray St.,OVC,31-3,110.0431065700672,45,96.21250769433684,61,0.8241320295099815,47,31,3,18,0,18-0,0.4184807952042578,0.4547432955047735,0.3459030191099053,0.4184807952042578,0.4547432955047735,0.3459030191099053,0.871903620402988,0.8263484234732125,101.18513608476,102.8399658607728,101.18513608476,102.8399658607728,109.4965387710299,95.34349963136552,114.53856650606694,97.7985849990942,0.8602078121714729,3,0.1039117549815233,1375.0,1065.0,1194.5749999999998,1.1510369796789657,0.8915304606240715,0,1.0,3.5099941449655896,23,13,66.03879833279352,1293
48,Xavier,BE,23-13,110.90289053964908,36,97.18045028696434,79,0.8203885337766842,48,23,13,8,11,8-11,0.6970963519911068,0.5686083816365962,0.7739000323623269,0.6970963519911068,0.5686083816365962,0.7739000323623269,0.7314132455747133,0.8074823843141345,106.29227254684868,97.56157817490003,106.29227254684868,97.56157817490003,110.00267053720673,99.8879647628428,124.52383023102806,109.1296217000516,0.8201772015962893,14,0.0272434608476996,1366.0,1393.0,1318.5374999999997,1.035996321682167,1.0564735549804236,0,0.4210526315789473,-1.060430183726311,75,107,68.56596927150747,1462
